id;ma_chuyen_di;ten_chuyen_di;thoi_gian_tu;thoi_gian_den;ma_nhan_vien;ten_nhan_vien;so_dien_thoai;dia_diem;so_tien
1;Configuration Principal Fish;Rubber Jewelery Alaska;2021-03-26;2021-03-26;Metrics Granite District;Savings calculating Account;utilisation;local Plastic optical;cross-platform interface
2;Account partnerships online;definition Open-source online;2021-03-26;2021-03-26;Berkshire;generating input Pennsylvania;Infrastructure Chips;Generic;Steel world-class SMTP
3;Account;budgetary;2021-03-26;2021-03-25;Tasty responsive;Metal card;turn-key;end-to-end Islands;Chips
4;Planner;relationships incubate;2021-03-26;2021-03-26;scale;copy transmitting Beauty;Shirt;Sports Representative stable;Ramp copy extensible
5;synergy Sausages Orchestrator;redundant;2021-03-26;2021-03-26;sexy Health;protocol;parsing;approach;project Intelligent
6;Movies Granite driver;Steel Intelligent;2021-03-26;2021-03-26;services;Berkshire Refined;Multi-channelled Shoes;Crossing;Rubber
7;cultivate Dollar Intelligent;Berkshire;2021-03-26;2021-03-26;Account;Cameroon virtual Tuna;PNG lavender;red National Cotton;Dollar Usability deposit
8;Health Assistant Bhutan;Bacon hacking;2021-03-26;2021-03-26;grow;synthesize;Wisconsin;Web Director;Kyat
9;program hacking;24/365;2021-03-26;2021-03-26;Timor-Leste Platinum optical;rich Rubber;THX;radical core;Multi-layered Cambridgeshire
10;Nebraska primary application;Vatu orange;2021-03-25;2021-03-25;Fresh cross-platform Coordinator;panel payment;Baby;Program Agent;mission-critical
